collection,species,occurrences
Aquadesk,elitoralis,196
Aquadesk,nouveli,193
Aquadesk,marielebouriae,192
Aquadesk,wailesii,192
Aquadesk,arcticus,191
Aquadesk,bicki,190
Aquadesk,costatus,190
Aquadesk,loveni,189
WMR,vernalis,189
Aquadesk,westii,188
Aquadesk,teres,187
Aquadesk,fasciola,186
Aquadesk,bobrezkii,186
Aquadesk,antiflexa,184
Aquadesk,tumefacta,183
Aquadesk,remota,183
Aquadesk,longipes,181
Aquadesk,emarginata,178
Aquadesk,belgica,178
Aquadesk,britannia,178
Aquadesk,gilva,178
Aquadesk,casertanum,177
Aquadesk,glans,176
Aquadesk,websteri,176
Aquadesk,henslowanum,176
Aquadesk,postclitellochaeta,173
Aquadesk,balticum,173
Aquadesk,potamos,172
Aquadesk,pygodactylata,170
Aquadesk,symphyta,170
Aquadesk,splendens,170
Aquadesk,stroemi,169
Aquadesk,inhaerens,168
Aquadesk,mite,167
WMR,pisum,167
WMR,rotundata,167
Aquadesk,tamarense,166
Aquadesk,salinus,165
Aquadesk,maculosa,164
Aquadesk,forbesii,163
Aquadesk,montagui,162
VIS,auratus,160
Aquadesk,subpictus,160
VIS,gammarus,158
Aquadesk,exsultans,157
Aquadesk,pseudogaster,156
Aquadesk,rugicauda,154
Aquadesk,cirrifera,153
Aquadesk,pagurus,148
Aquadesk,moldaviensis,148
Aquadesk,americana,146
Aquadesk,reticulum,146
Aquadesk,sowerbyi,146
Aquadesk,multisetosum,146
Aquadesk,hibernica,144
Aquadesk,picta,143
Aquadesk,subglobosum,142
Aquadesk,kefersteini,141
Aquadesk,tenella,141
Aquadesk,rugosa,141
Aquadesk,anguste-lineata,140
VIS,lucerna,140
Aquadesk,concinnus,138
Aquadesk,distortum,137
Aquadesk,nitescens,137
WMR,plana,135
Aquadesk,lenticula,135
Aquadesk,prolifera,132
Aquadesk,plumosa,131
Aquadesk,granulata,131
WMR,pellucidus,131
Aquadesk,lacustre,130
Aquadesk,adriaticum,128
Aquadesk,neapolitanus,128
Aquadesk,acuta,127
Aquadesk,moniliformis,126
Aquadesk,diadema,126
Aquadesk,brevirostre,125
Aquadesk,solea,122
Aquadesk,garciai,122
Aquadesk,verrucosa,122
Aquadesk,texturata,121
Aquadesk,triangularis,121
Aquadesk,kitt,121
Aquadesk,ostenfeldii,120
Aquadesk,indica,120
Aquadesk,shetlandica,119
WMR,clathrus,118
Aquadesk,delognei,117
Aquadesk,villosus,117
VIS,pilchardus,116
Aquadesk,oblongum,116
Aquadesk,tornatilis,115
Aquadesk,ischnus,115
Aquadesk,fibula,114
Aquadesk,denticulatum,114
Aquadesk,cristata,114
Aquadesk,quinquecornis,113
VIS,vipera,112
Aquadesk,kinbergi,112
Aquadesk,flos-aquae,111
Aquadesk,sylvestris,111
Aquadesk,candida,111
Aquadesk,danielsseni,110
Aquadesk,defodiens,110
Aquadesk,rotundatum,109
Aquadesk,ovalis,108
Aquadesk,benedeni,107
Aquadesk,medusa,107
Aquadesk,flabelligerus,106
Aquadesk,microps,106
Aquadesk,pallidum,106
Aquadesk,undatus,105
Aquadesk,punctulatum,105
Aquadesk,pentasterias,104
Aquadesk,mustela,104
Aquadesk,carbonaria,104
VIS,bergylta,104
Aquadesk,marphysae,104
Aquadesk,sertulata,104
Aquadesk,pugilator,102
Aquadesk,killariensis,101
WMR,truncata,101
Aquadesk,brownae,100
Aquadesk,ceratosporus,100
Aquadesk,placentula,100
Aquadesk,hirsutimanus,99
Aquadesk,rathkei,98
Aquadesk,diazi,97
VIS,maximus,96
WMR,fervensis,96
Aquadesk,senile,95
WMR,philippinarum,94
Aquadesk,cataphractus,94
Aquadesk,excentricum,94
Aquadesk,costatogranulatus,93
Aquadesk,felina,93
Aquadesk,lanceolatus,93
Aquadesk,australis,92
Aquadesk,clathrus,92
Aquadesk,pseudodelicatissima,91
Aquadesk,coerulea,91
Aquadesk,solida,90
Aquadesk,cimbrius,90
WMR,gigas,90
WMR,pagurus,90
Aquadesk,rufescens,88
Aquadesk,quadrata,88
VIS,planeri,88
Aquadesk,lacustris,87
Aquadesk,litoralis,87
Aquadesk,cirratus,87
Aquadesk,tentaculata,86
Aquadesk,pediculus,86
Aquadesk,pseudonoctiluca,84
Aquadesk,bellii,82
Aquadesk,psilonereiella,82
Aquadesk,cornutus,82
Aquadesk,balanoides,81
Aquadesk,lighti,81
Aquadesk,paucicostata,80
VIS,alosa,80
Aquadesk,arcuatus,79
Aquadesk,conicoides,79
Aquadesk,cingulata,78
Aquadesk,nebula,78
VIS,harrisii,78
Aquadesk,clavata,78
Aquadesk,branchialis,77
Aquadesk,cymbelliformis,77
Aquadesk,laevis,77
Aquadesk,pentagonum,76
WMR,exoleta,76
Aquadesk,triqueter,73
Aquadesk,neglecta,73
Aquadesk,chambersae,72
Aquadesk,seriata,72
Aquadesk,affine,72
Aquadesk,lineata,71
Aquadesk,horologium,71
Aquadesk,staurogeniiforme,70
Aquadesk,minutum,70
Aquadesk,desikacharyi,70
Aquadesk,vedlomensis,69
Aquadesk,arcuatum,69
Aquadesk,stagnalis,69
Aquadesk,subsalsum,68
Aquadesk,abbreviata,68
Aquadesk,dianthus,68
Aquadesk,coeca,68
Aquadesk,glabrum,67
Aquadesk,curtipes,66
Aquadesk,gregaria,66
Aquadesk,korsuni,65
Aquadesk,subtruncatum,65
Aquadesk,minutissima,64
Aquadesk,lindstroemi,64
VIS,flavescens,64
Aquadesk,eccentrica,63
Aquadesk,aestuarius,63
Aquadesk,parallelum,63
Aquadesk,grayana,63
Aquadesk,triacantha,63
Aquadesk,ovalipes,63
Aquadesk,magnus,62
Aquadesk,tetramitiformis,62
Aquadesk,gracile,62
Aquadesk,subcarinatus,61
